codice_contenitore;tipo_contenitore;numero_scatole_nel_bancale
BOX_00797;cassone metallico;0
BOX_00798;bancale in polistirolo;6
BOX_00799;bancale in polistirolo;8
BOX_00800;cassone metallico;0
BOX_00801;bancale in polistirolo;8
BOX_00802;cassone metallico;0
BOX_00803;bancale in polistirolo;8
BOX_00804;bancale in polistirolo;6
BOX_00805;bancale in polistirolo;8
BOX_00806;cassone metallico;0
BOX_00807;bancale in polistirolo;5
BOX_00808;bancale in polistirolo;8
BOX_00809;cassone metallico;0
BOX_00810;bancale in polistirolo;8
BOX_00811;bancale in polistirolo;8
BOX_00812;bancale in polistirolo;1
BOX_00813;cassone metallico;0
BOX_00814;bancale in polistirolo;1
BOX_00815;cassone metallico;0
BOX_00816;bancale in polistirolo;1
BOX_00817;bancale in polistirolo;8
BOX_00818;cassone metallico;0
BOX_00819;bancale in polistirolo;8
BOX_00820;cassone metallico;0
BOX_00821;cassone metallico;0
BOX_00822;bancale in polistirolo;8
BOX_00823;cassone metallico;0
BOX_00824;cassone metallico;0
BOX_00825;cassone metallico;0
BOX_00826;bancale in polistirolo;8
BOX_00827;bancale in polistirolo;4
BOX_00828;bancale in polistirolo;3
BOX_00829;cassone metallico;0
BOX_00830;bancale in polistirolo;2
BOX_00831;bancale in polistirolo;1
BOX_00832;bancale in polistirolo;8
BOX_00833;cassone metallico;0
BOX_00834;cassone metallico;0
BOX_00835;cassone metallico;0
BOX_00836;bancale in polistirolo;8
BOX_00837;bancale in polistirolo;8
BOX_00838;bancale in polistirolo;8
BOX_00839;cassone metallico;0
BOX_00840;cassone metallico;0
BOX_00841;cassone metallico;0
BOX_00842;bancale in polistirolo;8
BOX_00843;bancale in polistirolo;3
BOX_00844;cassone metallico;0
BOX_00845;cassone metallico;0
BOX_00846;bancale in polistirolo;8
BOX_00847;cassone metallico;0
BOX_00848;cassone metallico;0
BOX_00849;bancale in polistirolo;8
BOX_00850;bancale in polistirolo;2
BOX_00851;bancale in polistirolo;8
BOX_00852;bancale in polistirolo;6
BOX_00853;cassone metallico;0
BOX_00854;bancale in polistirolo;8
BOX_00855;cassone metallico;0
BOX_00856;cassone metallico;0
BOX_00857;bancale in polistirolo;1
BOX_00858;cassone metallico;0
BOX_00859;bancale in polistirolo;7
BOX_00860;cassone metallico;0
BOX_00861;bancale in polistirolo;8
BOX_00862;bancale in polistirolo;8
BOX_00863;bancale in polistirolo;8
BOX_00864;cassone metallico;0
BOX_00865;cassone metallico;0
BOX_00866;bancale in polistirolo;7
BOX_00867;cassone metallico;0
BOX_00868;bancale in polistirolo;1
BOX_00869;cassone metallico;0
BOX_00870;cassone metallico;0
BOX_00871;bancale in polistirolo;8
BOX_00872;bancale in polistirolo;8
BOX_00873;bancale in polistirolo;8
BOX_00874;bancale in polistirolo;3
BOX_00875;cassone metallico;0
BOX_00876;cassone metallico;0
